'''
Please cite this paper
Li, J., Zhang, G., Zhang, S. et al. Seismicity characteristics and interseismic 
locking of the Anninghe Fault, Southwest China: Insights from long-term dense 
seismic array observations. Earth Planets Space 77, 63 (2025). 
https://doi.org/10.1186/s40623-025-02167-z
'''
ot,lat,lon,dep,mag,dt_max,num_sta,ex,ey,ez,rms,evid
2008-10-02T00:10:13.740000Z,27.580951,101.893286,21.02,1.8,107.9,5,242.1,268.4,316.7,0.128,61
2008-10-02T18:20:30.220000Z,29.213971,102.228174,9.56,1.5,105.9,5,190.5,237.5,264.3,0.121,60
2008-10-03T03:11:05.470000Z,29.216571,102.235994,11.11,1.8,105.5,4,197.4,212.8,208.8,0.097,41
2008-10-03T09:12:20.890000Z,29.216718,102.239429,10.6,1.1,166.6,3,239.7,307.3,321.2,0.097,39
2008-10-03T14:10:10.390000Z,29.214986,102.228125,7.41,1.3,166.9,3,221.9,228.9,392.1,0.139,44
2008-10-04T01:08:13.180000Z,29.225857,102.232153,8.53,1.9,106.5,4,186.6,219.6,272.1,0.132,46
2008-10-04T01:10:06.820000Z,29.212494,102.244832,11.04,2.1,170.0,4,200.5,267.4,254.4,0.125,43
2008-10-04T07:10:04.940000Z,27.804116,101.887459,25.47,1.0,158.9,4,143.6,164.4,305.3,0.048,42
2008-10-04T14:07:25.340000Z,29.212518,102.238965,9.91,2.0,104.9,8,185.2,224.3,249.4,0.157,50
2008-10-04T17:05:12.880000Z,29.215029,102.239087,9.96,2.0,105.1,9,159.4,222.0,220.6,0.159,56
2008-10-04T23:05:23.120000Z,29.217419,102.240324,10.22,1.3,166.2,3,238.6,304.3,320.6,0.103,55
2008-10-05T03:05:57.620000Z,29.221873,102.231201,8.76,1.6,162.8,4,210.7,221.8,314.0,0.139,54
2008-10-05T06:19:53.400000Z,29.221967,102.236629,10.0,1.3,105.8,4,163.4,213.5,212.2,0.101,37
2008-10-05T08:07:49.440000Z,29.217999,102.224805,8.49,1.9,106.5,4,266.8,230.0,407.7,0.132,47
2008-10-05T11:05:55.170000Z,29.210822,102.244377,10.8,2.2,104.4,8,160.1,230.4,204.7,0.143,53
2008-10-06T09:05:52.430000Z,28.166262,101.76722,8.58,1.7,131.7,6,243.7,247.1,507.9,0.136,36
2008-10-09T01:23:45.980000Z,29.115426,102.188045,9.82,2.0,166.6,4,242.8,284.0,307.1,0.074,32
2008-10-09T12:02:13.690000Z,29.116575,102.18575,8.26,1.8,193.0,4,255.3,284.4,378.4,0.072,31
2008-10-10T00:04:25.540000Z,27.616624,101.869629,7.04,1.0,172.7,4,208.8,255.4,405.3,0.191,30
2008-10-11T12:21:29.650000Z,29.217635,102.236174,10.17,1.4,105.5,4,181.9,233.0,219.2,0.130,27
2008-10-11T15:13:28.810000Z,27.323311,102.62701,12.28,1.1,218.0,3,570.0,578.2,479.1,0.049,29
2008-10-11T18:20:11.160000Z,29.231004,102.244694,12.26,1.6,105.9,5,357.5,297.4,465.4,0.150,28
2008-10-12T00:22:46.630000Z,29.035455,102.256006,15.1,1.4,233.5,3,361.5,424.3,532.2,0.127,25
2008-10-12T14:22:09.840000Z,29.213177,102.238965,10.14,1.0,168.9,3,265.6,289.8,386.5,0.148,24
2008-10-14T07:21:41.330000Z,29.029069,102.253532,12.62,1.5,135.4,4,191.0,195.9,247.3,0.123,26
2008-10-15T13:02:04.500000Z,27.37217,102.67146,12.59,1.4,194.2,4,317.8,271.0,348.5,0.183,21
2008-10-17T20:17:24.720000Z,28.172394,101.758398,9.49,1.2,131.4,6,620.9,719.9,1093.5,0.214,18
2008-10-19T01:05:54.070000Z,27.366667,102.687345,11.14,1.0,212.0,5,300.4,224.7,251.5,0.157,17
2008-10-21T01:14:20.500000Z,29.940245,101.915535,6.73,0.5,149.0,3,376.6,455.8,573.3,0.123,16
2008-10-22T15:11:21.440000Z,27.281268,102.790194,11.52,1.7,201.4,7,284.7,239.4,365.1,0.167,12
2008-10-22T16:17:59.150000Z,27.355078,102.735832,11.82,1.0,238.5,4,529.4,484.4,528.2,0.108,11
2008-10-24T11:09:36.460000Z,27.593321,101.879728,16.71,1.4,182.1,4,137.0,193.3,275.1,0.103,10
2008-10-30T03:08:09.310000Z,29.795378,101.990991,5.8,2.6,120.2,6,234.2,171.9,414.4,0.135,5
2008-10-30T19:13:46.240000Z,29.611849,102.018286,10.89,1.3,80.7,5,286.7,221.9,404.5,0.143,2
2008-10-31T05:22:56.290000Z,27.340057,102.710864,11.45,1.7,146.9,10,232.5,199.1,288.8,0.167,134
2008-10-31T22:10:32.240000Z,27.600134,101.872819,15.87,1.2,112.1,6,134.0,174.5,268.4,0.146,3
2008-11-01T18:22:05.020000Z,28.652834,102.235571,10.78,2.1,102.2,8,317.3,265.3,463.0,0.173,132
2008-11-02T17:05:15.920000Z,28.157975,101.767725,7.56,2.4,102.0,14,231.8,249.6,463.9,0.158,133
2008-11-03T05:23:27.900000Z,28.165607,101.786353,13.71,1.4,100.8,5,306.2,316.3,799.7,0.147,131
2008-11-05T19:01:37.020000Z,29.80791,101.96145,1.58,1.0,184.7,3,317.3,221.4,794.6,0.003,128
2008-11-06T00:10:17.810000Z,27.592594,101.866545,15.9,1.3,179.6,3,124.7,164.5,264.3,0.083,119
2008-11-06T03:15:10.570000Z,30.105646,102.010864,7.93,1.5,69.6,7,275.0,232.9,370.2,0.160,122
2008-11-06T22:21:37.640000Z,27.92538,102.713452,9.01,2.2,113.0,14,335.3,254.4,438.7,0.114,117
2008-11-07T15:13:09.390000Z,29.672422,102.665959,15.19,1.4,114.6,5,317.6,418.1,596.6,0.165,115
2008-11-07T16:10:44.250000Z,27.675732,101.894995,17.54,1.0,161.0,3,369.0,443.2,580.5,0.178,118
2008-11-09T05:09:05.780000Z,29.083223,102.41818,22.61,1.7,124.0,6,242.7,218.7,236.1,0.162,116
2008-11-09T09:10:13.510000Z,29.06168,102.378711,29.04,2.9,71.3,16,399.0,418.7,383.7,0.194,113
2008-11-10T11:04:56.640000Z,27.936147,102.106315,8.6,1.2,193.8,4,162.3,219.7,230.5,0.099,110
2008-11-12T23:17:27.880000Z,29.173041,102.294653,12.43,1.6,52.1,12,274.5,288.9,311.1,0.179,109
2008-11-13T16:04:26.000000Z,27.900543,102.106047,8.62,1.0,184.6,4,233.3,360.8,398.7,0.167,105
2008-11-15T05:21:28.120000Z,28.518823,102.692472,6.1,0.6,181.1,3,258.6,300.7,499.4,0.126,101
2008-11-16T01:10:39.800000Z,27.840922,101.854972,10.14,1.0,168.5,3,97.9,138.8,324.5,0.036,100
2008-11-16T06:06:37.610000Z,29.061654,102.375618,27.13,1.6,127.8,6,321.9,360.7,296.4,0.167,102
2008-11-16T11:09:54.440000Z,27.628566,101.867114,10.03,1.2,117.7,6,209.9,242.5,314.3,0.183,104
2008-11-17T03:04:02.870000Z,27.571755,101.88138,20.56,1.3,189.6,3,150.6,164.7,269.8,0.077,99
2008-11-19T17:14:25.160000Z,30.155573,101.968506,10.19,1.6,226.5,8,361.5,249.7,293.1,0.166,96
2008-11-19T18:12:00.600000Z,29.46863,102.212329,13.65,0.9,302.7,7,557.9,437.5,780.1,0.131,97
2008-11-20T11:09:42.320000Z,27.562168,101.87391,20.31,1.2,191.4,4,161.9,198.2,303.0,0.104,98
2008-11-21T09:04:36.300000Z,29.607967,102.114762,9.64,2.9,73.3,19,179.5,194.5,364.7,0.178,95
2008-11-22T05:07:01.820000Z,29.166779,102.304199,11.58,1.0,164.8,8,204.6,209.9,202.2,0.144,92
2008-11-22T21:08:55.880000Z,30.106087,102.043498,9.01,1.0,241.4,4,380.3,343.2,409.7,0.153,91
2008-11-22T22:23:59.220000Z,29.107066,101.813957,9.11,0.8,183.9,3,369.9,620.4,679.4,0.113,93
2008-11-23T00:21:50.360000Z,27.32903,102.653133,15.81,1.0,188.4,4,193.1,109.2,104.3,0.156,88
2008-11-23T01:07:16.500000Z,28.96239,102.24554,8.33,1.0,224.9,4,237.9,406.9,556.3,0.091,94
2008-11-23T13:19:18.760000Z,29.611373,102.01993,6.49,1.1,158.7,9,146.0,128.5,277.7,0.124,89
2008-11-24T11:09:44.620000Z,27.577897,101.874528,21.07,1.4,176.9,5,155.9,182.6,278.1,0.149,90
2008-11-24T11:18:29.930000Z,29.619727,102.019531,12.44,1.2,159.4,6,432.0,291.6,987.1,0.102,85
2008-11-24T18:02:33.300000Z,29.107945,102.418595,18.7,0.7,282.6,6,175.7,196.0,193.0,0.099,87
2008-11-25T14:21:20.140000Z,29.316713,102.250789,7.09,1.0,294.2,8,222.8,343.1,380.8,0.115,78
2008-11-26T11:10:46.940000Z,27.843154,101.891536,24.1,1.0,169.6,3,212.4,222.9,512.4,0.125,81
2008-11-26T23:11:49.040000Z,29.172522,102.344198,22.62,0.8,171.2,7,123.0,181.1,109.2,0.067,80
2008-11-27T05:15:31.140000Z,27.208291,102.622518,15.98,1.5,140.0,8,281.1,181.6,345.7,0.148,79
